target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,3,expanding_ar1,128,0.995929889220054,0.4453125,0.1396217100201817,0.2657553010644707
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,4,expanding_ar1,127,1.002496700044817,0.4566929133858268,0.5623324899161399,0.764442077709734
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,5,expanding_ar1,126,1.0014010267575173,0.4761904761904761,0.460035033830551,0.6900525507458265
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,6,expanding_ar1,125,1.0008100329064284,0.432,0.442793409224521,0.6641901138367815
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,7,expanding_ar1,124,0.9963746813190768,0.5,0.1747172502638374,0.3484368560711139
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,8,expanding_ar1,123,0.9933489137809552,0.5365853658536586,0.1502248768175627,0.3004497536351254
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,9,expanding_ar1,122,0.990073616513468,0.5163934426229508,0.1395969788044456,0.2791939576088913
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,10,expanding_ar1,120,0.9838455111571216,0.5333333333333333,0.1113197884345198,0.2226395768690396
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,11,expanding_ar1,118,0.9752184391373514,0.5423728813559322,0.0988166534223316,0.1976333068446633
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,12,expanding_ar1,116,0.9709398841968606,0.5862068965517241,0.1071384683516217,0.2142769367032434
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,1,expanding_ar1,130,1.0012500884844533,0.4692307692307692,0.7007455361059197,0.9221449649622514
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,2,expanding_ar1,129,0.9969575591911416,0.4728682170542636,0.1688876000081219,0.4369280074492723
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,3,expanding_ar1,128,0.9967835474220228,0.4765625,0.1771702007096471,0.2657553010644707
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,4,expanding_ar1,127,1.0078465360297038,0.5196850393700787,0.764442077709734,0.764442077709734
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,5,expanding_ar1,126,1.0051911421546038,0.5,0.706631172776709,0.8419332416311439
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,6,expanding_ar1,125,1.0046633785286745,0.464,0.7204619097418148,0.8645542916901777
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,7,expanding_ar1,124,0.9975409568850442,0.5161290322580645,0.2322912373807426,0.3484368560711139
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,8,expanding_ar1,123,0.9919651060415432,0.5528455284552846,0.1071200587465362,0.3004497536351254
cpi_D7EO_12m_pct,uk_ipi_c262_noneu_12m_pct,9,expanding_ar1,122,0.987039130360635,0.5327868852459017,0.095285907286447,0.2791939576088913
